subject	AcqGroup
sub-71537723	43
sub-99418149	43
sub-79576932	43
sub-12642817	43
sub-59500816	44
sub-81009555	44
sub-18910654	44
sub-03918123	44
sub-69528865	45
sub-85527016	45
sub-82890542	45
sub-29399378	45
sub-71063018	46
sub-17151093	46
sub-50410445	46
sub-48451825	46
sub-62301938	47
sub-60909048	47
sub-04981936	47
sub-36379885	47
sub-65778949	48
sub-18455382	48
sub-24644776	48
sub-44842532	48
sub-80930779	49
sub-77716758	49
sub-46957588	49
sub-87528111	50
sub-07886540	50
sub-46487787	50
sub-86747572	51
sub-02158395	51
sub-43636464	51
sub-65608216	52
sub-49297367	52
sub-29197882	52
sub-53192752	53
sub-90977195	53
sub-84248280	53
sub-95902182	54
sub-80450368	54
sub-35259170	54
sub-94114706	55
sub-18500390	55
sub-43743340	55
sub-18659212	56
sub-16583691	56
sub-50100194	56
sub-52052115	57
sub-84896566	57
sub-50404037	57
sub-98455072	58
sub-08042406	58
sub-31349429	58
sub-97161005	59
sub-83380919	59
sub-15279954	59
sub-72347501	60
sub-58531593	60
sub-95281012	60
sub-60512515	61
sub-60833355	61
sub-74708460	61
sub-57220179	62
sub-66523086	62
sub-97498839	62
sub-88029789	63
sub-08072948	63
sub-43116037	63
sub-14050539	64
sub-42450388	64
sub-62744471	65
sub-89835239	65
sub-80487613	66
sub-26468686	66
sub-72277580	67
sub-55755657	67
sub-95702616	68
sub-21581470	68
sub-20842880	69
sub-22880976	69
sub-90821208	70
sub-01878130	70
sub-71932972	71
sub-18014283	71
sub-23601829	72
sub-38881712	72
sub-14682761	73
sub-46029529	73
sub-10989297	74
sub-33400773	74
sub-43536587	75
sub-41587876	75
sub-72841884	76
sub-91949579	76
sub-70329923	77
sub-34453492	77
sub-79978444	78
sub-27745104	78
sub-87874312	79
sub-33171505	79
sub-59449940	80
sub-55603674	80
sub-55079134	81
sub-13581685	81
sub-02950975	82
sub-50957643	82
sub-91996170	83
sub-17548238	83
sub-01085867	84
sub-45712433	84
sub-96351191	85
sub-14458137	85
sub-92308774	86
sub-13064995	86
sub-54110146	87
sub-87386573	88
sub-54631876	89
sub-87942151	90
sub-46226934	91
sub-18584660	92
sub-86880662	93
sub-83216408	94
sub-83211453	95
sub-01841461	96
sub-20764143	97
sub-08899955	98
sub-12317427	99
sub-79953855	100
sub-41928551	101
sub-06152191	102
sub-06131380	103
sub-04984547	104
sub-05859529	105
sub-26084536	106
sub-03060782	107
sub-22408684	108
sub-20857733	109
sub-12766954	110
sub-13380780	111
sub-13747771	112
sub-22887653	113
sub-24328729	114
sub-24051131	115
sub-24243693	116
sub-15302308	117
sub-15548986	118
sub-17974222	119
sub-20752487	120
sub-46110487	121
sub-90076229	122
sub-79692549	123
sub-56961563	124
sub-62720059	125
sub-62398393	126
sub-61640072	127
sub-60370977	128
sub-65017989	129
sub-66451045	130
sub-65692934	131
sub-66905828	132
sub-56300228	133
sub-56201806	134
sub-56029116	135
sub-55003328	136
sub-56979865	137
sub-78916544	138
sub-59865900	139
sub-57311163	140
sub-57198442	141
sub-58051920	142
sub-67227993	143
sub-67364573	144
sub-72931025	145
sub-77273914	146
sub-68813045	147
sub-70212461	148
sub-72276737	149
sub-71952642	150
sub-63053163	151
sub-63698192	152
sub-77333587	153
sub-93417026	154
sub-78010047	155
sub-80352799	156
sub-82366015	157
sub-81810992	158
sub-81185560	159
sub-82728899	160
sub-80966721	161
sub-77689940	162
sub-96314498	163
sub-95638231	164
sub-95439194	165
sub-96915597	166
sub-97478169	167
sub-99893592	168
sub-95252909	169
sub-98844813	170
sub-98273670	171
sub-90173045	172
sub-51515723	173
sub-88961000	174
sub-90439144	175
sub-94225596	176
sub-93966278	177
sub-94937061	178
sub-92276597	179
sub-40385646	180
sub-80485855	181
sub-52786794	182
sub-86295007	183
sub-65685223	184
sub-58581705	185
sub-68611261	186
sub-70760860	187
sub-54519335	188
sub-58458351	189
sub-51730202	190
sub-46808242	191
sub-23825005	192
sub-06129174	193
sub-37865636	194
sub-70113599	195
sub-51905867	196
sub-55396358	197
sub-99911705	198
sub-33635574	199
sub-34185763	200
sub-35967579	201
sub-36087310	202
sub-33154734	203
sub-27083391	204
sub-28628802	205
sub-29843151	206
sub-31914288	207
sub-37997363	208
sub-49094578	209
sub-49428128	210
sub-48480640	211
sub-39898329	212
sub-41417981	213
sub-26334803	214
sub-94826271	215
sub-95087506	216
sub-49619549	217
sub-38599661	218
sub-54739607	219
sub-03368115	220
sub-02673641	221
sub-75458387	222
sub-15368216	223
sub-50300660	224
sub-39539033	225
sub-84732827	226
sub-77180612	227
sub-48748345	228
sub-13464351	229
sub-80967998	230
sub-68772001	231
sub-38831212	232
sub-42432890	233
sub-18313469	234
sub-17863982	235
sub-20769648	236
sub-96370720	237
sub-31171127	238
sub-09061779	239
sub-99126836	240
sub-68289181	241
sub-31373325	242
sub-46041057	243
sub-42308567	244
sub-41566489	245
sub-38264019	246
sub-09687331	247
sub-08293225	248
sub-13103757	249
sub-13633244	250
sub-14266701	251
sub-37070929	252
sub-73177635	253
sub-75161029	254
sub-65925304	255
sub-65952361	256
sub-67249133	257
sub-67632202	258
sub-67946467	259
sub-35676857	260
sub-34542628	261
sub-73146926	262
sub-36646347	263
sub-36689398	264
sub-38292829	265
sub-37914710	266
sub-36953249	267
sub-72448817	268
sub-39544012	269
sub-28663873	270
sub-28517012	271
sub-26516467	272
sub-33360294	273
sub-33084399	274
sub-33659310	275
sub-30311425	276
sub-29278716	277
sub-40401703	278
sub-47711932	279
sub-47619873	280
sub-50402279	281
sub-52939119	282
sub-73033080	283
sub-57833358	284
sub-02695917	285
sub-87585034	286
sub-03227207	287
sub-04319814	288
sub-05427601	289
sub-08245033	290
sub-05001777	291
sub-14740738	292
sub-21213453	293
sub-25248418	294
sub-26334777	295
sub-15938020	296
sub-51129205	297
sub-82335720	298
sub-85508351	299
sub-86910081	300
sub-77790442	301
sub-51938758	302
sub-78410089	303
sub-79521487	304
sub-79692387	305
sub-96763051	306
sub-97775875	307
sub-90224563	308
sub-90544000	309
sub-90805280	310
sub-93041854	311
sub-92427316	312
sub-59497970	313
sub-61074758	314
sub-63514945	315
sub-64505110	316
sub-34018777	317
