subject	AcqGroup
sub-22683723	15
sub-17041894	15
sub-14782198	15
sub-13976224	15
sub-13885104	15
sub-18024055	15
sub-19474655	15
sub-18882093	15
sub-64386439	16
sub-60346107	16
sub-92688745	16
sub-89912411	16
sub-99377367	16
sub-84552319	16
sub-55994710	16
sub-40189408	16
sub-68914513	17
sub-73943687	17
sub-56486107	17
sub-53356828	17
sub-53355949	17
sub-16068769	17
sub-47236602	17
sub-44985334	17
sub-78300592	18
sub-76650481	18
sub-75149339	18
sub-59826313	18
sub-68030544	18
sub-84537270	18
sub-85520889	18
sub-55338718	18
sub-61055543	19
sub-77999453	19
sub-81622344	19
sub-52230739	19
sub-49845805	19
sub-50551515	19
sub-34204567	19
sub-39339855	19
sub-75833578	20
sub-65990079	20
sub-81639479	20
sub-50408103	20
sub-44797362	20
sub-44655449	20
sub-40880222	20
sub-12043602	21
sub-15756754	21
sub-17826865	21
sub-19838873	21
sub-25526621	21
sub-30122312	21
sub-31155785	21
sub-96789493	22
sub-82520217	22
sub-61595488	22
sub-32091942	22
sub-31143443	22
sub-37700720	22
sub-46433373	22
sub-79742340	23
sub-72152564	23
sub-75359253	23
sub-52781299	23
sub-35683982	23
sub-43169148	23
sub-41915754	23
sub-73369061	24
sub-78707509	24
sub-76621666	24
sub-67781836	24
sub-99151323	24
sub-59166782	24
sub-36220549	24
sub-72869408	25
sub-79562706	25
sub-62356645	25
sub-69586117	25
sub-53600397	25
sub-57688599	25
sub-75862393	26
sub-88910757	26
sub-88049747	26
sub-88495663	26
sub-85065931	26
sub-84748235	26
sub-26266802	27
sub-27313574	27
sub-13391981	27
sub-34119407	27
sub-34317953	27
sub-13282409	28
sub-24597324	28
sub-17259824	28
sub-20857733	28
sub-20741150	28
sub-95373147	29
sub-96768556	29
sub-82736939	29
sub-85539934	29
sub-42721592	29
sub-69105830	30
sub-64178959	30
sub-80275355	30
sub-87652570	30
sub-49758987	30
sub-69660076	31
sub-93493992	31
sub-50112436	31
sub-55861780	31
sub-46516939	31
sub-89515666	32
sub-32016379	32
sub-37326968	32
sub-60589462	32
sub-57002539	32
sub-76731441	33
sub-69540555	33
sub-93918950	33
sub-86901774	33
sub-38702934	33
sub-12357443	34
sub-20886846	34
sub-20849279	34
sub-17863982	34
sub-20769648	34
sub-73957787	35
sub-78657384	35
sub-75262623	35
sub-87821751	35
sub-46619977	35
sub-74343949	36
sub-62693953	36
sub-69545186	36
sub-93138484	36
sub-99516006	36
sub-11688997	37
sub-13346850	37
sub-13103757	37
sub-13026999	37
sub-12642817	37
sub-71598000	38
sub-91957295	38
sub-54743671	38
sub-38199917	38
sub-66447233	39
sub-86934089	39
sub-23354613	39
sub-28175584	39
sub-76368754	40
sub-99740180	40
sub-88153300	40
sub-49352697	40
sub-69982407	41
sub-83112293	41
sub-88799920	41
sub-34777681	41
sub-20036948	42
sub-18646253	42
sub-18578838	42
sub-18219966	42
sub-60512515	43
sub-60833355	43
sub-74708460	43
sub-56813520	44
sub-92319975	44
sub-98423772	44
sub-20752487	45
sub-18910654	45
sub-18584660	45
sub-68240468	46
sub-81148605	46
sub-39874033	46
sub-72347501	47
sub-95281012	47
sub-58531593	47
sub-71537723	48
sub-79576932	48
sub-99418149	48
sub-65778949	49
sub-24644776	49
sub-44842532	49
sub-31183595	50
sub-30473144	50
sub-30132184	50
sub-66523086	51
sub-97498839	51
sub-57220179	51
sub-69528865	52
sub-82890542	52
sub-85527016	52
sub-96177193	53
sub-39352262	53
sub-36791229	53
sub-62564549	54
sub-99278233	54
sub-90230421	54
sub-16583691	55
sub-18659212	55
sub-50100194	55
sub-20739944	56
sub-20486354	56
sub-20472416	56
