gradient1,gradient2,gradient3,gradient4,gradient5
-0.03054252,-0.025025772,0.649718,-0.08343556,0.23785163
-0.9470323,-0.009398515,0.2984649,-0.16698365,0.42363822
-1.6310304,-0.76289487,-0.15768601,0.3370462,0.73320735
-1.1932265,-0.50626975,1.4470743,0.08688419,0.75196594
-2.5033197,-0.9214948,0.76043576,0.3438359,0.70244366
-3.1091056,-1.2493432,0.29646474,-0.1593715,0.4563879
-0.40815815,-0.24580848,1.6694806,0.016340813,0.7080672
-2.821245,-1.080588,1.1098877,0.044838123,0.8448431
-1.8122193,-0.7393363,0.68596274,0.11329621,0.56479836
-0.2396593,-0.107676536,0.90582037,-0.1965295,0.4023868
0.040858556,-0.071576826,0.5974695,0.022693835,0.20851812
-0.76788265,-0.3137922,1.1295195,0.20892793,0.54346085
-1.7173736,-0.6862715,0.28819755,0.05166998,0.24064763
-0.8332052,-0.18914391,0.9485712,-0.011722785,0.46345356
-0.17715229,-0.18041307,0.9043048,0.047182295,0.57817185
-1.560388,0.22049947,0.033648465,0.07189031,0.055870906
-3.249279,-1.4364276,-0.5011541,-0.053064063,-0.27350494
-1.5871865,-0.6328304,0.35863063,0.13630831,0.43269348
-0.23869747,-0.13047047,0.74362195,0.07767673,0.45198038
2.6700873,-0.03781818,0.9813841,-0.21079831,-0.3393013
0.9455829,-0.008317522,0.52462876,-0.18977632,0.39786017
4.3877935,-0.052524757,-0.8094945,-0.21973944,-0.123562455
2.5420918,0.19255039,1.5659539,-0.7871628,-0.5287119
4.1408567,0.018638631,-1.8124276,-0.12962277,0.60629976
3.2617962,-0.082398765,-0.96432173,-0.038848497,0.22345096
0.12103326,0.37930253,-0.48028776,-0.32550687,0.4800711
1.758209,0.059986,-0.85945135,-0.056082573,0.5459691
2.731565,-0.053942624,-1.342227,-0.03839376,0.59448916
0.14148818,0.7281139,-0.5323367,-0.37519452,0.5097624
2.2672977,-0.058655433,-1.87377,-0.13247976,0.87040126
0.4363747,0.48150584,0.37081558,-0.46073216,0.39063472
2.863871,0.24967712,-1.184436,-0.08132293,0.16054581
0.94483215,-0.006502932,0.12563166,-0.062282648,-0.18577452
0.5013995,0.03162803,0.42172533,-0.16095981,-0.093147226
0.8570869,0.07724325,0.16833548,-0.18884693,-0.16021149
0.16539705,0.15848066,0.4976448,-0.3986069,0.012161778
1.2678088,0.113210924,0.70820993,-0.39700392,-0.3310233
0.92400354,0.05767182,0.33573917,-0.20270777,-0.23652692
2.0710244,0.032292288,0.2903731,-0.2646322,-0.40472162
1.8942192,0.089514494,0.29973236,-0.36098,-0.38794065
1.9125109,-0.18371515,1.0390751,0.12978593,0.08464539
1.9211904,-0.014215611,0.94773316,-0.17575596,-0.41702324
2.0376475,0.019891324,0.38366276,-0.26326576,-0.44756794
1.7798222,-0.005581684,0.34060463,-0.1003538,-0.34982714
0.18171747,0.06484724,0.80753464,-0.2942263,0.285643
0.48676515,0.0300521,0.59617406,-0.18374518,-0.04894592
0.86769176,0.2292099,0.105194785,-0.36564142,0.15694892
0.29546815,0.06832006,-0.04507786,-0.09052607,0.3527556
1.1430053,-0.08263733,0.2509498,0.09998419,0.08077504
0.7833383,0.08006516,0.35664445,-0.23410101,-0.18360886
0.90397924,0.11582275,0.29618844,-0.25894088,-0.14537755
0.78997445,0.00277486,0.4820343,-0.10471834,-0.12696029
1.2967298,-0.020561906,-0.050441936,-0.052335083,-0.1561323
0.8819283,0.04556866,0.16400228,-0.092535704,0.0572966
0.9467939,0.0497994,0.13671505,-0.16655111,-0.15759844
0.36217108,0.12690754,0.65261,-0.3036077,0.07463259
0.13238838,0.55955976,0.29088083,0.1060843,-0.08445679
2.3877726,0.08508796,-0.50409275,-0.0669958,0.000422276
0.7561405,-0.077818885,0.75808114,0.20394899,-0.040278982
0.3240439,0.1638296,0.9103751,-0.39954284,0.084462345
1.3224137,-0.18479973,0.92547756,0.26726323,-0.03794067
2.8883371,0.05742984,0.88638276,-0.43254167,-0.49402845
0.080733314,0.16867091,-0.2045303,0.010546664,0.21726973
0.52901196,0.3972072,-0.31028828,-0.067267604,0.11454749
1.118382,-0.007171379,-0.29093704,-0.01058792,0.048969273
0.76957303,-0.010160786,0.26427078,-0.028877582,-0.035268523
