gradient1,gradient2,gradient3,gradient4,gradient5
-2.2230859,-0.9121078,-0.24793188,-0.4981249,-0.021487305
-3.7822964,-1.8918134,-1.0202047,0.024366315,-0.26446977
-2.3327935,-1.1171008,-0.62634087,-0.5703205,-0.36646762
-2.2333157,-0.7757846,-0.073594704,0.08314374,0.011667122
-2.340593,-1.2508217,-0.82962507,-0.30025774,-0.4938557
-3.5413072,-1.0053113,-0.6398343,-0.019385716,-0.25788572
-2.410715,-1.2376249,-0.76646596,-0.5049493,-0.49241826
-2.4651058,-1.2839845,-0.64687616,-0.30018353,-0.40712753
-3.8363185,-2.0787911,-1.3548043,-0.59497064,-0.8689938
-2.9787824,-1.5803564,-0.9732427,-0.52828014,-0.63099575
-2.6124246,-1.2826272,-0.8522383,-0.34287912,-0.55032367
-1.5224694,-0.6433567,-0.3304119,-0.22932985,-0.20444903
-3.007147,-1.6229445,-1.0157713,-0.34641093,-0.65579844
-3.1719875,-1.7401078,-1.0568095,-0.28404254,-0.66569823
-2.7108903,-1.2155956,-0.5884514,-0.7127374,-0.38633186
-2.7907233,-1.4769542,-0.8921166,-0.21940222,-0.5882323
-4.1141434,-2.095652,-1.1424031,-0.14021963,-0.69174373
-2.76031,-1.3992689,-0.7374648,0.007500544,-0.4128812
-2.4523265,-1.2508302,-0.68834364,-0.13653043,-0.4419369
-1.2985849,-0.50229967,0.10321207,-0.13814168,0.08735385
-1.0743234,-0.45570722,-0.17630354,-0.112004936,-0.114182755
-2.8764546,-1.5758524,-0.95307773,-0.26210216,-0.6009133
-2.5220542,-1.3577677,-0.7963254,-0.26486963,-0.51567966
-1.8221918,-0.9805188,-0.60281134,-0.12521063,-0.38729936
-0.4434978,0.7175429,0.124138564,-0.45712584,0.19205359
0.061949536,0.2658525,0.61389226,-0.5504195,0.08724324
-0.014536534,0.25598115,-0.116935045,-0.055539463,0.24662372
0.3855359,0.3986955,0.18896295,-0.29641196,0.075437404
-0.10660595,1.07771,0.5229269,-0.7755405,-0.03618949
-1.167381,0.009560675,0.26159924,-0.7529126,0.12897567
-0.2604399,0.2841695,-0.043256022,0.008744585,-0.021647986
-0.17506407,0.13974729,0.20250958,-0.2980264,0.032251805
-1.5207574,-0.29497126,-0.068240225,-0.7041098,-0.073927246
-0.2053215,0.37428877,0.18637998,-0.2991851,0.023238784
-0.084547415,0.21746592,0.43679821,-0.44448933,0.054206666
-0.64770436,0.65904397,0.2719263,-0.4460367,0.11565205
-1.4187835,-0.5244294,-0.3059645,-0.40876454,-0.18999618
-0.8017624,0.48788768,0.03653278,-0.39547047,-0.010700068
0.3706406,0.13529041,0.37380525,-0.22375727,-0.027854895
-1.1843132,0.8710409,-0.1048542,-0.30164623,-0.04449794
-0.82439935,0.057342142,0.22795789,-0.16092408,0.15068504
-0.34397382,0.1324367,0.16643581,-0.17428869,0.09155998
-0.7506675,-0.20313565,0.032982636,-0.13192788,0.03150828
-1.2034471,0.2526386,0.31883743,-0.32850283,0.18499798
-0.87468755,0.30261573,0.46832845,-0.6678921,0.20813598
-1.1837336,-0.1627338,0.23396412,-0.45939708,0.14259294
-0.660292,0.18344283,0.61506534,-0.74741095,0.18775602
0.5463093,0.099983335,-0.0436587,-0.08808315,0.33030543
-0.52603513,0.11767389,-0.5328479,0.03657654,0.42023447
-0.41824713,-0.007736702,0.13092124,0.06795867,0.41452652
-1.332865,-0.46477184,0.19645193,0.08373958,0.3311472
-1.21864,-0.45010233,0.35350972,-0.051758077,0.31331638
-0.59220827,-0.001851942,0.5586656,-0.35576627,0.3058083
